"","Geo Level","State","State ANSI","Measure","Bearing Type","Domain","size_bracket","Value","CV (%)"
"42","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",562,"6.4"
"43","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",17,"27.9"
"44","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",43,"19.0"
"45","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",22,"40.9"
"46","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",200,"8.2"
"47","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",16,"72.6"
"48","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",2130,"8.4"
"49","STATE","ALABAMA","01","ACRES","BEARING","TOTAL","TOTAL",162,"16.9"
"50","STATE","ALABAMA","01","ACRES","GROWN","TOTAL","TOTAL",171,"17.5"
"51","STATE","ALABAMA","01","ACRES","NON-BEARING","TOTAL","TOTAL",9,"80.0"
"52","STATE","ALABAMA","01","OPERATIONS","AREA BEARING","TOTAL","TOTAL",107,"19.7"
"53","STATE","ALABAMA","01","OPERATIONS","AREA GROWN","TOTAL","TOTAL",119,"17.5"
"54","STATE","ALABAMA","01","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",18,"26.9"
"55","STATE","ALASKA","02","ACRES","BEARING","TOTAL","TOTAL",11,"(L)"
"56","STATE","ALASKA","02","ACRES","GROWN","TOTAL","TOTAL",14,"(L)"
"57","STATE","ALASKA","02","ACRES","NON-BEARING","TOTAL","TOTAL",3,"(L)"
"58","STATE","ALASKA","02","OPERATIONS","AREA BEARING","TOTAL","TOTAL",45,"(L)"
"59","STATE","ALASKA","02","OPERATIONS","AREA GROWN","TOTAL","TOTAL",50,"(L)"
"60","STATE","ALASKA","02","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",8,"(L)"
"61","STATE","ARIZONA","04","ACRES","BEARING","TOTAL","TOTAL",3,"29.4"
