"","Geo Level","State","State ANSI","Measure","Bearing Type","Domain","size_bracket","Value","CV (%)"
"237","STATE","MAINE","23","ACRES","BEARING","TOTAL","TOTAL",293,"35.3"
"238","STATE","MAINE","23","ACRES","GROWN","TOTAL","TOTAL",371,"31.3"
"239","STATE","MAINE","23","ACRES","NON-BEARING","TOTAL","TOTAL",78,"18.9"
"240","STATE","MAINE","23","OPERATIONS","AREA BEARING","TOTAL","TOTAL",154,"11.7"
"241","STATE","MAINE","23","OPERATIONS","AREA GROWN","TOTAL","TOTAL",193,"12.5"
"242","STATE","MAINE","23","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",94,"14.2"
"243","STATE","MARYLAND","24","ACRES","BEARING","TOTAL","TOTAL",135,"4.8"
"244","STATE","MARYLAND","24","ACRES","GROWN","TOTAL","TOTAL",150,"4.1"
"245","STATE","MARYLAND","24","ACRES","NON-BEARING","TOTAL","TOTAL",15,"27.3"
"246","STATE","MARYLAND","24","OPERATIONS","AREA BEARING","TOTAL","TOTAL",129,"11.4"
"247","STATE","MARYLAND","24","OPERATIONS","AREA GROWN","TOTAL","TOTAL",142,"11.3"
"248","STATE","MARYLAND","24","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",26,"19.6"
"249","STATE","MASSACHUSETTS","25","ACRES","BEARING","TOTAL","TOTAL",258,"11.3"
"250","STATE","MASSACHUSETTS","25","ACRES","GROWN","TOTAL","TOTAL",303,"13.5"
"251","STATE","MASSACHUSETTS","25","ACRES","NON-BEARING","TOTAL","TOTAL",45,"29.6"
"252","STATE","MASSACHUSETTS","25","OPERATIONS","AREA BEARING","TOTAL","TOTAL",233,"12.6"
"253","STATE","MASSACHUSETTS","25","OPERATIONS","AREA GROWN","TOTAL","TOTAL",249,"9.6"
"254","STATE","MASSACHUSETTS","25","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",70,"20.0"
"255","STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",69,"(D)"
"256","STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",164,"10.4"
"257","STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",69,"(D)"
"258","STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",88,"67.2"
"259","STATE","MICHIGAN","26","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",324,"12.5"
"260","STATE","MICHIGAN","26","ACRES","BEARING","TOTAL","TOTAL",714,"28.0"
"261","STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",59,"10.1"
"262","STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",195,"8.7"
"263","STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",92,"(H)"
"264","STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",115,"61.9"
"265","STATE","MICHIGAN","26","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",415,"11.6"
"266","STATE","MICHIGAN","26","ACRES","GROWN","TOTAL","TOTAL",875,"25.3"
"267","STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",6.5,"(D)"
"268","STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",31,"19.3"
"269","STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",6.5,"(D)"
"270","STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",27,"44.4"
"271","STATE","MICHIGAN","26","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",91,"11.8"
"272","STATE","MICHIGAN","26","ACRES","NON-BEARING","TOTAL","TOTAL",162,"15.7"
"273","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",266,"12.0"
"274","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",93,"18.8"
"275","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",5,"(H)"
"276","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"277","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"11.7"
"278","STATE","MICHIGAN","26","OPERATIONS","AREA BEARING","TOTAL","TOTAL",420,"13.0"
"279","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",305,"11.2"
"280","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",96,"17.0"
"281","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",5,"(H)"
"282","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"283","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"11.7"
"284","STATE","MICHIGAN","26","OPERATIONS","AREA GROWN","TOTAL","TOTAL",462,"12.2"
"285","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",55,"37.1"
"286","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",43,"11.5"
"287","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",1,"(H)"
"288","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",4,"71.2"
"289","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",33,"10.8"
"290","STATE","MICHIGAN","26","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",136,"20.3"
"291","STATE","MINNESOTA","27","ACRES","BEARING","TOTAL","TOTAL",308,"13.7"
"292","STATE","MINNESOTA","27","ACRES","GROWN","TOTAL","TOTAL",401,"14.8"
"293","STATE","MINNESOTA","27","ACRES","NON-BEARING","TOTAL","TOTAL",93,"30.2"
"294","STATE","MINNESOTA","27","OPERATIONS","AREA BEARING","TOTAL","TOTAL",184,"14.2"
"295","STATE","MINNESOTA","27","OPERATIONS","AREA GROWN","TOTAL","TOTAL",218,"13.2"
"296","STATE","MINNESOTA","27","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",85,"11.0"
"297","STATE","MISSISSIPPI","28","ACRES","BEARING","TOTAL","TOTAL",0,"(D)"
"298","STATE","MISSISSIPPI","28","ACRES","GROWN","TOTAL","TOTAL",46,"24.4"
"299","STATE","MISSISSIPPI","28","ACRES","NON-BEARING","TOTAL","TOTAL",0,"(D)"
"300","STATE","MISSISSIPPI","28","OPERATIONS","AREA BEARING","TOTAL","TOTAL",24,"89.2"
"301","STATE","MISSISSIPPI","28","OPERATIONS","AREA GROWN","TOTAL","TOTAL",31,"65.3"
"302","STATE","MISSISSIPPI","28","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",8,"74.1"
"303","STATE","MISSOURI","29","ACRES","BEARING","TOTAL","TOTAL",76,"18.8"
"304","STATE","MISSOURI","29","ACRES","GROWN","TOTAL","TOTAL",85,"17.2"
"305","STATE","MISSOURI","29","ACRES","NON-BEARING","TOTAL","TOTAL",10,"10.8"
"306","STATE","MISSOURI","29","OPERATIONS","AREA BEARING","TOTAL","TOTAL",189,"8.0"
"307","STATE","MISSOURI","29","OPERATIONS","AREA GROWN","TOTAL","TOTAL",218,"8.7"
"308","STATE","MISSOURI","29","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",51,"10.0"
"309","STATE","MONTANA","30","ACRES","BEARING","TOTAL","TOTAL",8,"49.6"
"310","STATE","MONTANA","30","ACRES","GROWN","TOTAL","TOTAL",9,"43.0"
"311","STATE","MONTANA","30","ACRES","NON-BEARING","TOTAL","TOTAL",1,"26.8"
"312","STATE","MONTANA","30","OPERATIONS","AREA BEARING","TOTAL","TOTAL",35,"21.3"
"313","STATE","MONTANA","30","OPERATIONS","AREA GROWN","TOTAL","TOTAL",38,"19.0"
"314","STATE","MONTANA","30","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",7,"38.3"
"315","STATE","NEBRASKA","31","ACRES","BEARING","TOTAL","TOTAL",0,"(D)"
"316","STATE","NEBRASKA","31","ACRES","GROWN","TOTAL","TOTAL",18,"25.7"
"317","STATE","NEBRASKA","31","ACRES","NON-BEARING","TOTAL","TOTAL",0,"(D)"
"318","STATE","NEBRASKA","31","OPERATIONS","AREA BEARING","TOTAL","TOTAL",48,"47.4"
"319","STATE","NEBRASKA","31","OPERATIONS","AREA GROWN","TOTAL","TOTAL",48,"47.4"
"320","STATE","NEBRASKA","31","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",5,"78.2"
"321","STATE","NEVADA","32","ACRES","BEARING","TOTAL","TOTAL",1,"16.3"
"322","STATE","NEVADA","32","ACRES","GROWN","TOTAL","TOTAL",1,"16.3"
"323","STATE","NEVADA","32","OPERATIONS","AREA BEARING","TOTAL","TOTAL",9,"23.6"
"324","STATE","NEVADA","32","OPERATIONS","AREA GROWN","TOTAL","TOTAL",9,"23.6"
"325","STATE","NEW HAMPSHIRE","33","ACRES","BEARING","TOTAL","TOTAL",112,"25.1"
"326","STATE","NEW HAMPSHIRE","33","ACRES","GROWN","TOTAL","TOTAL",134,"24.7"
"327","STATE","NEW HAMPSHIRE","33","ACRES","NON-BEARING","TOTAL","TOTAL",22,"24.6"
"328","STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA BEARING","TOTAL","TOTAL",81,"26.5"
"329","STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA GROWN","TOTAL","TOTAL",102,"23.4"
"330","STATE","NEW HAMPSHIRE","33","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",36,"21.7"
"331","STATE","NEW JERSEY","34","ACRES","BEARING","TOTAL","TOTAL",233,"7.2"
"332","STATE","NEW JERSEY","34","ACRES","GROWN","TOTAL","TOTAL",257,"7.2"
"333","STATE","NEW JERSEY","34","ACRES","NON-BEARING","TOTAL","TOTAL",24,"35.7"
"334","STATE","NEW JERSEY","34","OPERATIONS","AREA BEARING","TOTAL","TOTAL",137,"6.3"
"335","STATE","NEW JERSEY","34","OPERATIONS","AREA GROWN","TOTAL","TOTAL",146,"6.8"
"336","STATE","NEW JERSEY","34","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",33,"12.5"
"337","STATE","NEW MEXICO","35","ACRES","BEARING","TOTAL","TOTAL",2,"38.1"
"338","STATE","NEW MEXICO","35","ACRES","GROWN","TOTAL","TOTAL",7,"19.4"
"339","STATE","NEW MEXICO","35","ACRES","NON-BEARING","TOTAL","TOTAL",5,"19.3"
"340","STATE","NEW MEXICO","35","OPERATIONS","AREA BEARING","TOTAL","TOTAL",18,"47.7"
"341","STATE","NEW MEXICO","35","OPERATIONS","AREA GROWN","TOTAL","TOTAL",32,"32.9"
"342","STATE","NEW MEXICO","35","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",14,"40.1"
"343","STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",40.5,"(D)"
"344","STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",267,"8.0"
"345","STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",140,"59.5"
"346","STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",40.5,"(D)"
"347","STATE","NEW YORK","36","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",263,"10.7"
"348","STATE","NEW YORK","36","ACRES","BEARING","TOTAL","TOTAL",751,"14.3"
"349","STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",48.5,"(D)"
"350","STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",306,"8.6"
"351","STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",182,"50.2"
"352","STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",48.5,"(D)"
"353","STATE","NEW YORK","36","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",328,"11.1"
"354","STATE","NEW YORK","36","ACRES","GROWN","TOTAL","TOTAL",913,"14.4"
"355","STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",15,"14.4"
"356","STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",40,"16.3"
"357","STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",42,"31.2"
"358","STATE","NEW YORK","36","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",66,"22.7"
"359","STATE","NEW YORK","36","ACRES","NON-BEARING","TOTAL","TOTAL",162,"16.9"
"360","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",241,"6.0"
"361","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",146,"7.1"
"362","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",10,"51.1"
"363","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",1,"(L)"
"364","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",41,"14.1"
"365","STATE","NEW YORK","36","OPERATIONS","AREA BEARING","TOTAL","TOTAL",439,"6.4"
"366","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",277,"7.2"
"367","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",146,"7.1"
"368","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",10,"51.1"
"369","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",1,"(L)"
"370","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",41,"14.1"
"371","STATE","NEW YORK","36","OPERATIONS","AREA GROWN","TOTAL","TOTAL",475,"5.8"
"372","STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",74,"11.7"
"373","STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",54,"11.0"
"374","STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",6,"27.4"
"375","STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",27,"18.9"
"376","STATE","NEW YORK","36","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",161,"6.1"
"377","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",39,"56.5"
"378","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",221,"26.7"
"379","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",147.75,"(D)"
"380","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",147.75,"(D)"
"381","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",147.75,"(D)"
"382","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",161,"32.2"
"383","STATE","NORTH CAROLINA","37","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",147.75,"(D)"
"384","STATE","NORTH CAROLINA","37","ACRES","BEARING","TOTAL","TOTAL",1012,"17.4"
"385","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",54,"(D)"
"386","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",234,"25.1"
"387","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",385,"(L)"
"388","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",118,"(H)"
"389","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",54,"(D)"
"390","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",174,"34.4"
"391","STATE","NORTH CAROLINA","37","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",54,"(D)"
"392","STATE","NORTH CAROLINA","37","ACRES","GROWN","TOTAL","TOTAL",1073,"16.9"
"393","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",8.75,"(D)"
"394","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",13,"36.6"
"395","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",8.75,"(D)"
"396","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",8.75,"(D)"
"397","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",8.75,"(D)"
"398","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",13,"94.7"
"399","STATE","NORTH CAROLINA","37","ACRES","NON-BEARING","TOTAL","TOTAL",61,"18.6"
"400","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",165,"51.5"
"401","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",116,"28.0"
"402","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",3,"(L)"
"403","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",6,"(H)"
"404","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",1,"(L)"
"405","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",30,"33.9"
"406","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",1,"(L)"
"407","STATE","NORTH CAROLINA","37","OPERATIONS","AREA BEARING","TOTAL","TOTAL",322,"31.4"
"408","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",180,"52.5"
"409","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",119,"26.9"
"410","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",3,"(L)"
"411","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",6,"(H)"
"412","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",1,"(L)"
"413","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",30,"33.9"
"414","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",1,"(L)"
"415","STATE","NORTH CAROLINA","37","OPERATIONS","AREA GROWN","TOTAL","TOTAL",340,"32.7"
"416","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",41,"54.3"
"417","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",11,"60.4"
"418","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",1,"(L)"
"419","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",1,"(L)"
"420","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",1,"(L)"
"421","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",5,"78.2"
"422","STATE","NORTH CAROLINA","37","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",60,"49.2"
"423","STATE","NORTH DAKOTA","38","ACRES","BEARING","TOTAL","TOTAL",0,"(D)"
"424","STATE","NORTH DAKOTA","38","ACRES","GROWN","TOTAL","TOTAL",1,"11.2"
"425","STATE","NORTH DAKOTA","38","ACRES","NON-BEARING","TOTAL","TOTAL",0,"(D)"
"426","STATE","NORTH DAKOTA","38","OPERATIONS","AREA BEARING","TOTAL","TOTAL",8,"16.8"
"427","STATE","NORTH DAKOTA","38","OPERATIONS","AREA GROWN","TOTAL","TOTAL",9,"14.9"
"428","STATE","NORTH DAKOTA","38","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",2,"(L)"
"429","STATE","OHIO","39","ACRES","BEARING","TOTAL","TOTAL",445,"16.6"
"430","STATE","OHIO","39","ACRES","GROWN","TOTAL","TOTAL",511,"14.0"
"431","STATE","OHIO","39","ACRES","NON-BEARING","TOTAL","TOTAL",66,"13.9"
"432","STATE","OHIO","39","OPERATIONS","AREA BEARING","TOTAL","TOTAL",361,"5.4"
"433","STATE","OHIO","39","OPERATIONS","AREA GROWN","TOTAL","TOTAL",393,"6.2"
"434","STATE","OHIO","39","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",87,"10.5"
"435","STATE","OKLAHOMA","40","ACRES","BEARING","TOTAL","TOTAL",15,"52.1"
"436","STATE","OKLAHOMA","40","ACRES","GROWN","TOTAL","TOTAL",21,"36.2"
"437","STATE","OKLAHOMA","40","ACRES","NON-BEARING","TOTAL","TOTAL",6,"33.4"
"438","STATE","OKLAHOMA","40","OPERATIONS","AREA BEARING","TOTAL","TOTAL",51,"15.2"
"439","STATE","OKLAHOMA","40","OPERATIONS","AREA GROWN","TOTAL","TOTAL",66,"18.1"
"440","STATE","OKLAHOMA","40","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",19,"64.1"
"441","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",276.67,"(D)"
"442","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",106,"23.0"
"443","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",276.67,"(D)"
"444","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",115,"39.2"
"445","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",468,"26.4"
"446","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",145,"13.9"
"447","STATE","OREGON","41","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",276.67,"(D)"
"448","STATE","OREGON","41","ACRES","BEARING","TOTAL","TOTAL",1664,"19.6"
"449","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",36,"23.0"
"450","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",122,"21.1"
"451","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",681,"60.7"
"452","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",154,"40.5"
"453","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",494,"27.9"
"454","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",154,"14.3"
"455","STATE","OREGON","41","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",212,"(L)"
"456","STATE","OREGON","41","ACRES","GROWN","TOTAL","TOTAL",1853,"17.4"
"457","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",32.67,"(D)"
"458","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",16,"26.9"
"459","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",32.67,"(D)"
"460","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",39,"44.7"
"461","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",26,"58.4"
"462","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",9,"40.0"
"463","STATE","OREGON","41","ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",32.67,"(D)"
"464","STATE","OREGON","41","ACRES","NON-BEARING","TOTAL","TOTAL",188,"15.2"
"465","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",189,"7.3"
"466","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",55,"24.3"
"467","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",3,"77.5"
"468","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",9,"39.4"
"469","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",16,"31.4"
"470","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",19,"16.6"
"471","STATE","OREGON","41","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",3,"(L)"
"472","STATE","OREGON","41","OPERATIONS","AREA BEARING","TOTAL","TOTAL",294,"6.7"
"473","STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",206,"12.9"
"474","STATE","OREGON","41","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",57,"23.2"
